,Team,Youth,Vets,Mindset
0,HOU,0,7,Win Now
1,MIL,1,6,Win Now
2,DET,1,6,Win Now
3,LAL,1,6,Win Now
4,POR2,1,6,Win Now
5,ORL,1,6,Win Now
6,MIN,2,5,Win Now
7,NOP,2,5,Win Now
8,OKC,2,5,Win Now
9,MIA,2,5,Win Now
10,POR,2,5,Win Now
11,SAS,2,5,Win Now
12,UTA,2,5,Win Now
13,BKN2,2,5,Win Now
14,BKN,3,4,Win Now
15,WAS,3,4,Win Now
16,PHI,3,4,Win Now
17,WAS2,3,4,Win Now
18,MEM,3,4,Win Now
19,LAC,3,4,Win Now
20,IND,3,4,Win Now
21,GSW2,3,4,Win Now
22,CHA,3,4,Win Now
23,BOS,3,4,Win Now
24,NYK,4,3,Rebuilding
25,GSW,4,3,Rebuilding
26,DEN,4,3,Rebuilding
27,DAL,4,3,Rebuilding
28,CLE,4,3,Rebuilding
29,CHI,4,3,Rebuilding
30,TOR,4,3,Rebuilding
31,ATL,4,3,Rebuilding
32,PHO,5,2,Rebuilding
33,SAC,5,2,Rebuilding
