,Name,Team,DPOSS,DRAYMOND,dvalue
64,Rudy Gobert,UTA,5785.590999999999,2.818105,32
143,Serge Ibaka,TOR,5257.826999999999,2.6259080000000004,31
3,Brook Lopez,MIL,6039.569,2.531657,30
232,Myles Turner,IND,4655.604,2.434031,29
128,Joel Embiid,PHI,5419.188,2.396293,28
0,Giannis Antetokounmpo,MIL,6338.544,2.128734,27
31,Montrezl Harrell,LAC,5059.705,1.8214830000000002,26
120,LaMarcus Aldridge,SAS,6012.034000000001,1.8182610000000001,25
212,Draymond Green,GSW2,6260.347,1.7610400000000002,23
85,Draymond Green,GSW,6260.347,1.7610400000000002,23
141,Pascal Siakam,TOR,7195.181,1.6462189999999999,22
133,James Harden,HOU,6753.953,1.395982,21
21,Jayson Tatum,BOS,5808.584,1.261458,20
29,Patrick Beverley,LAC,5029.338,1.24702,19
2,Eric Bledsoe,MIL,5899.579000000001,1.226985,18
131,Al Horford,PHI,4834.457,1.1816,17
23,Jaylen Brown,BOS,4697.732,1.1779870000000001,16
135,Clint Capela,HOU,5312.979,1.12802,15
148,Andre Drummond,DET,5708.754,1.014774,14
127,Ben Simmons,PHI,6761.323,0.9704571,13
228,Kevin Durant,BKN2,6753.048000000001,0.9417883,12
184,Nikola Vucevic,ORL,5514.724,0.9354314,11
235,Malcolm Brogdon,IND,4463.056,0.8778965,10
162,Nikola Jokic,DEN,6262.941999999999,0.8719796999999999,9
171,Jarrett Allen,BKN,4773.596,0.8708781999999999,7
227,Jarrett Allen,BKN2,4773.596,0.8708781999999999,7
110,Shai Gilgeous-Alexander,OKC,5090.393,0.8690116,6
134,PJ Tucker,HOU,6631.786,0.8450865,5
210,Klay Thompson,GSW2,7393.754,0.8049982,4
105,Steven Adams,OKC,6187.478,0.7765805,3
144,Marc Gasol,TOR,6447.901999999999,0.7448357,2
24,Gordon Hayward,BOS,4581.758,0.7388157,1
