,Name,Team,3PA,2PA,PTS/G,TS%,ovalue
0,Giannis Antetokounmpo,MIL,2.8,14.5,27.7,0.644,36
211,Stephen Curry,GSW2,11.7,7.7,27.3,0.6409999999999999,34
84,Stephen Curry,GSW,11.7,7.7,27.3,0.6409999999999999,34
228,Kevin Durant,BKN2,5.0,12.8,26.0,0.631,33
100,Karl-Anthony Towns,MIN,4.6,12.5,24.4,0.622,32
133,James Harden,HOU,13.2,11.3,36.1,0.616,31
33,Kawhi Leonard,LAC,5.0,13.8,26.6,0.606,30
74,Anthony Davis,LAL,2.6,15.7,25.9,0.597,29
128,Joel Embiid,PHI,4.1,14.6,27.5,0.593,28
172,Kyrie Irving,BKN,6.5,12.0,23.8,0.5920000000000001,26
229,Kyrie Irving,BKN2,6.5,12.0,23.8,0.5920000000000001,26
203,Damian Lillard,POR2,8.0,11.1,25.8,0.588,24
91,Damian Lillard,POR,8.0,11.1,25.8,0.588,24
70,LeBron James,LAL,5.9,14.0,27.4,0.588,24
190,Buddy Hield,SAC,7.9,8.6,20.7,0.5870000000000001,22
112,Devin Booker,PHO,6.5,13.1,26.6,0.584,21
34,Paul George,LAC,9.8,11.1,28.0,0.583,20
77,Bradley Beal,WAS,7.3,12.4,25.6,0.581,18
217,Bradley Beal,WAS2,7.3,12.4,25.6,0.581,18
147,Blake Griffin,DET,7.0,10.9,24.5,0.581,18
120,LaMarcus Aldridge,SAS,0.5,15.8,21.3,0.5760000000000001,16
7,Zach LaVine,CHI,5.1,12.9,23.7,0.574,15
184,Nikola Vucevic,ORL,2.9,14.0,20.8,0.573,14
210,Klay Thompson,GSW2,7.7,10.3,21.5,0.5710000000000001,13
66,Mike Conley,UTA,6.1,9.9,21.1,0.569,12
26,Kemba Walker,BOS,8.9,11.6,25.6,0.5579999999999999,11
154,Jrue Holiday,NOP,5.4,11.9,21.2,0.555,10
92,CJ McCollum,POR,6.4,11.4,21.0,0.5529999999999999,8
204,CJ McCollum,POR2,6.4,11.4,21.0,0.5529999999999999,8
175,Luka Doncic,DAL,7.1,9.3,21.2,0.545,7
119,DeMar DeRozan,SAS,0.6,16.5,21.2,0.542,6
180,Kristaps Porzingis,DAL,4.8,13.8,22.7,0.539,5
63,Donovan Mitchell,UTA,6.7,13.1,23.8,0.537,4
214,D'Angelo Russell,GSW2,7.8,10.9,21.1,0.5329999999999999,2
88,D'Angelo Russell,GSW,7.8,10.9,21.1,0.5329999999999999,2
218,John Wall,WAS2,5.3,12.0,20.7,0.527,1
